#,Name,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total
1,Bulbasaur,0,0,0,1,0,0,1
2,Ivysaur,0,0,0,1,1,0,2
3,Venusaur,0,0,0,2,1,0,3
4,Charmander,0,0,0,0,0,1,1
5,Charmeleon,0,0,0,1,0,1,2
6,Charizard,0,0,0,3,0,0,3
7,Squirtle,0,0,1,0,0,0,1
8,Wartortle,0,0,1,0,1,0,2
9,Blastoise,0,0,0,0,3,0,3
10,Caterpie,1,0,0,0,0,0,1
11,Metapod,0,0,2,0,0,0,2
12,Butterfree,0,0,0,2,1,0,3
13,Weedle,0,0,0,0,0,1,1
14,Kakuna,0,0,2,0,0,0,2
15,Beedrill,0,2,0,0,1,0,3
16,Pidgey,0,0,0,0,0,1,1
17,Pidgeotto,0,0,0,0,0,2,2
18,Pidgeot,0,0,0,0,0,3,3
19,Rattata,0,0,0,0,0,1,1
20,Raticate,0,0,0,0,0,2,2
21,Spearow,0,0,0,0,0,1,1
22,Fearow,0,0,0,0,0,2,2
23,Ekans,0,1,0,0,0,0,1
24,Arbok,0,2,0,0,0,0,2
25,Pikachu,0,0,0,0,0,2,2
26,Raichu,0,0,0,0,0,3,3
27,Sandshrew,0,0,1,0,0,0,1
28,Sandslash,0,0,2,0,0,0,2
29,Nidoran♀,1,0,0,0,0,0,1
30,Nidorina,2,0,0,0,0,0,2
31,Nidoqueen,3,0,0,0,0,0,3
32,Nidoran♂,0,1,0,0,0,0,1
33,Nidorino,0,2,0,0,0,0,2
34,Nidoking,0,3,0,0,0,0,3
35,Clefairy,2,0,0,0,0,0,2
36,Clefable,3,0,0,0,0,0,3
37,Vulpix,0,0,0,0,0,1,1
38,Ninetales,0,0,0,1,1,0,2
39,Jigglypuff,2,0,0,0,0,0,2
40,Wigglytuff,3,0,0,0,0,0,3
41,Zubat,0,0,0,0,0,1,1
42,Golbat,0,0,0,0,0,2,2
43,Oddish,0,0,0,1,0,0,1
44,Gloom,0,0,0,2,0,0,2
45,Vileplume,0,0,0,3,0,0,3
46,Paras,0,1,0,0,0,0,1
47,Parasect,0,2,1,0,0,0,3
48,Venonat,0,0,0,0,1,0,1
49,Venomoth,0,0,0,1,0,1,2
50,Diglett,0,0,0,0,0,1,1
51,Dugtrio,0,0,0,0,0,2,2
52,Meowth,0,0,0,0,0,1,1
53,Persian,0,0,0,0,0,2,2
54,Psyduck,0,0,0,1,0,0,1
55,Golduck,0,0,0,2,0,0,2
56,Mankey,0,1,0,0,0,0,1
57,Primeape,0,2,0,0,0,0,2
58,Growlithe,0,1,0,0,0,0,1
59,Arcanine,0,2,0,0,0,0,2
60,Poliwag,0,0,0,0,0,1,1
61,Poliwhirl,0,0,0,0,0,2,2
62,Poliwrath,0,0,3,0,0,0,3
63,Abra,0,0,0,1,0,0,1
64,Kadabra,0,0,0,2,0,0,2
65,Alakazam,0,0,0,3,0,0,3
66,Machop,0,1,0,0,0,0,1
67,Machoke,0,2,0,0,0,0,2
68,Machamp,0,3,0,0,0,0,3
69,Bellsprout,0,1,0,0,0,0,1
70,Weepinbell,0,2,0,0,0,0,2
71,Victreebel,0,3,0,0,0,0,3
72,Tentacool,0,0,0,0,1,0,1
73,Tentacruel,0,0,0,0,2,0,2
74,Geodude,0,0,1,0,0,0,1
75,Graveler,0,0,2,0,0,0,2
76,Golem,0,0,3,0,0,0,3
77,Ponyta,0,0,0,0,0,1,1
78,Rapidash,0,0,0,0,0,2,2
79,Slowpoke,1,0,0,0,0,0,1
80,Slowbro,0,0,2,0,0,0,2
81,Magnemite,0,0,0,1,0,0,1
82,Magneton,0,0,0,2,0,0,2
83,Farfetch'd,0,1,0,0,0,0,1
84,Doduo,0,1,0,0,0,0,1
85,Dodrio,0,2,0,0,0,0,2
86,Seel,0,0,0,0,1,0,1
87,Dewgong,0,0,0,0,2,0,2
88,Grimer,1,0,0,0,0,0,1
89,Muk,1,1,0,0,0,0,2
90,Shellder,0,0,1,0,0,0,1
91,Cloyster,0,0,2,0,0,0,2
92,Gastly,0,0,0,1,0,0,1
93,Haunter,0,0,0,2,0,0,2
94,Gengar,0,0,0,3,0,0,3
95,Onix,0,0,1,0,0,0,1
96,Drowzee,0,0,0,0,1,0,1
97,Hypno,0,0,0,0,2,0,2
98,Krabby,0,1,0,0,0,0,1
99,Kingler,0,2,0,0,0,0,2
100,Voltorb,0,0,0,0,0,1,1
101,Electrode,0,0,0,0,0,2,2
102,Exeggcute,0,0,1,0,0,0,1
103,Exeggutor,0,0,0,2,0,0,2
104,Cubone,0,0,1,0,0,0,1
105,Marowak,0,0,2,0,0,0,2
106,Hitmonlee,0,2,0,0,0,0,2
107,Hitmonchan,0,0,0,0,2,0,2
108,Lickitung,2,0,0,0,0,0,2
109,Koffing,0,0,1,0,0,0,1
110,Weezing,0,0,2,0,0,0,2
111,Rhyhorn,0,0,1,0,0,0,1
112,Rhydon,0,2,0,0,0,0,2
113,Chansey,2,0,0,0,0,0,2
114,Tangela,0,0,1,0,0,0,1
115,Kangaskhan,2,0,0,0,0,0,2
116,Horsea,0,0,0,1,0,0,1
117,Seadra,0,0,1,1,0,0,2
